Tab 1:
|      |   No | Division       | Sub-Division          | Country        | Legal Entity                       | KRIs                                      |     Q3 2024 KRI |     Q2 2024 KRI |      Variance | Sample Selected   |
|  265 |  266 | Corporate Bank | Fund Services         | Czech Republic | Willett Bank Prague                | Proliferation Financing breaches          |               1 |               0 |   1           |                   |
|  266 |  267 | Corporate Bank | Fund Services         | Czech Republic | Willett Bank Prague                | New Products                              |               0 |               0 |   0           |                   |
|  267 |  268 | Corporate Bank | Fund Services         | Czech Republic | Willett Bank Prague                | Wires - volume                            |               1 |               1 |   0           |                   |
|  268 |  269 | Corporate Bank | Fund Services         | Czech Republic | Willett Bank Prague                | Wires - value                             |           56691 |         1096040 | -18.3336      | 1                 |
|  269 |  270 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Total clients                             |            1188 |            1259 |  -0.0597643   |                   |
|  270 |  271 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Business Income                           |        27313816 |        25458563 |   0.0679236   |                   |
|  271 |  272 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Total Transactions                        |        98918926 |        97917655 |   0.0101221   |                   |
|  272 |  273 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Value of transactions                     |    802332636017 |    798131996169 |   0.00523553  |                   |
|  273 |  274 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | HR Clients                                |              50 |              90 |  -0.8         |                   |
|  274 |  275 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | MR Clients                                |             380 |             367 |   0.0342105   |                   |
|  275 |  276 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | LR Clients                                |               5 |              20 |  -3           | 1                 |
|  276 |  277 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Terrorist Financing breaches              |               5 |              18 |  -2.6         | 1                 |
|  277 |  278 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Proliferation Financing breaches          |               1 |               4 |  -3           | 1                 |
|  278 |  279 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | New Products                              |               0 |               0 |   0           |                   |
|  279 |  280 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Wires - volume                            |          826363 |          224014 |   0.728916    |                   |
|  280 |  281 | Corporate Bank | Corporate Loans       | France         | Willett Bank Paris                 | Wires - value                             |      3538336046 |      2667548487 |   0.246101    |                   |
|  281 |  282 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Total clients                             |             555 |               0 |   1           |                   |
|  282 |  283 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Business Income                           |        16102278 |        14244192 |   0.115393    |                   |
|  283 |  284 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Total Transactions                        |           10179 |            9860 |   0.031339    |                   |
|  284 |  285 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Value of transactions                     |      5329694655 |      3766526480 |   0.293294    |                   |
|  285 |  286 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | HR Clients                                |              45 |               0 |   1           |                   |
|  286 |  287 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | MR Clients                                |             154 |               0 |   1           |                   |
|  287 |  288 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | LR Clients                                |              11 |               0 |   1           |                   |
|  288 |  289 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Terrorist Financing breaches              |              10 |               0 |   1           |                   |
|  289 |  290 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Proliferation Financing breaches          |               1 |               0 |   1           |                   |
|  290 |  291 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | New Products                              |               0 |               0 |   0           |                   |
|  291 |  292 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Wires - volume                            |            4385 |            4282 |   0.0234892   |                   |
|  292 |  293 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Wires - value                             |      2195280105 |      1108406670 |   0.495096    |                   |
|  293 |  294 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | PEPs                                      |               4 |               4 |   0           |                   |
|  294 |  295 | Corporate Bank | Marine Finance        | France         | Willett Bank Paris                 | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  295 |  296 | Markets        | M&A                   | France         | Willett Bank Paris                 | Total clients                             |              17 |              16 |   0.0588235   |                   |
|  296 |  297 | Markets        | M&A                   | France         | Willett Bank Paris                 | Business Income                           |        19585314 |        15528303 |   0.207146    |                   |
|  297 |  298 | Markets        | M&A                   | France         | Willett Bank Paris                 | HR Clients                                |               2 |               2 |   0           |                   |
|  298 |  299 | Markets        | M&A                   | France         | Willett Bank Paris                 | MR Clients                                |               1 |               0 |   1           |                   |
|  299 |  300 | Markets        | M&A                   | France         | Willett Bank Paris                 | LR Clients                                |               0 |               0 |   0           |                   |
|  300 |  301 | Markets        | M&A                   | France         | Willett Bank Paris                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  301 |  302 | Markets        | M&A                   | France         | Willett Bank Paris                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  302 |  303 | Markets        | M&A                   | France         | Willett Bank Paris                 | New Products                              |               0 |               0 |   0           |                   |
|  303 |  304 | Markets        | Trading               | France         | Willett Bank Paris                 | Total clients                             |              17 |              16 |   0.0588235   |                   |
|  304 |  305 | Markets        | Trading               | France         | Willett Bank Paris                 | Business Income                           |        35658199 |        32853477 |   0.0786557   |                   |
|  305 |  306 | Markets        | Trading               | France         | Willett Bank Paris                 | HR Clients                                |               2 |               2 |   0           |                   |
|  306 |  307 | Markets        | Trading               | France         | Willett Bank Paris                 | MR Clients                                |               1 |               0 |   1           |                   |
|  307 |  308 | Markets        | Trading               | France         | Willett Bank Paris                 | LR Clients                                |               0 |               0 |   0           |                   |
|  308 |  309 | Markets        | Trading               | France         | Willett Bank Paris                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  309 |  310 | Markets        | Trading               | France         | Willett Bank Paris                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  310 |  311 | Markets        | Trading               | France         | Willett Bank Paris                 | New Products                              |               0 |               0 |   0           |                   |
|  311 |  312 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Total clients                             |              49 |              57 |  -0.163265    |                   |
|  312 |  313 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Business Income                           |         -107748 |          -95540 |   0.113301    |                   |
|  313 |  314 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Total Transactions                        |               0 |               0 |   0           |                   |
|  314 |  315 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Value of transactions                     |               0 |               0 |   0           |                   |
|  315 |  316 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | HR Clients                                |               6 |               5 |   0.166667    |                   |
|  316 |  317 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | MR Clients                                |              23 |              25 |  -0.0869565   |                   |
|  317 |  318 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | LR Clients                                |               0 |               0 |   0           |                   |
|  318 |  319 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  319 |  320 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  320 |  321 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Clients with HR products                  |               0 |               0 |   0           |                   |
|  321 |  322 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | New Products                              |               0 |               0 |   0           |                   |
|  322 |  323 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Wires - volume                            |               0 |               0 |   0           |                   |
|  323 |  324 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Wires - value                             |               0 |               0 |   0           |                   |
|  324 |  325 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | PEPs                                      |               0 |               0 |   0           |                   |
|  325 |  326 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  326 |  327 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
|  327 |  328 | Retail Bank    | Europe                | France         | Willett Bank Paris                 | Transactions with Russia - value          |               0 |               0 |   0           |                   |
|  328 |  329 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Total clients                             |           32737 |           18429 |   0.437059    |                   |
|  329 |  330 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Business Income                           |      1264724794 |      1223734877 |   0.0324101   |                   |
|  330 |  331 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Total Transactions                        |      2143730769 |      2171244143 |  -0.0128343   |                   |
|  331 |  332 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Value of transactions                     |  16632850966603 |  16252499780228 |   0.0228675   |                   |
|  332 |  333 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | HR Clients                                |            1437 |            1210 |   0.157968    |                   |
|  333 |  334 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | MR Clients                                |            9934 |            4598 |   0.537145    |                   |
|  334 |  335 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | LR Clients                                |             434 |             577 |  -0.329493    |                   |
|  335 |  336 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Terrorist Financing breaches              |             349 |             264 |   0.243553    |                   |
|  336 |  337 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Proliferation Financing breaches          |              64 |              85 |  -0.328125    |                   |
|  337 |  338 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | New Products                              |               1 |               2 |  -1           |                   |
|  338 |  339 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Wires - volume                            |         2668433 |         2408348 |   0.0974673   |                   |
|  339 |  340 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Wires - value                             |    322615502718 |    315739419804 |   0.0213136   |                   |
|  340 |  341 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | PEPs                                      |               0 |              28 |   0           |                   |
|  341 |  342 | Corporate Bank | Corporate Loans       | Greece         | Willett Bank Athens                | Transactions Prohibited countries - value |               0 |         5083951 |   0           |                   |
|  342 |  343 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Total clients                             |            1020 |            1027 |  -0.00686275  |                   |
|  343 |  344 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Business Income                           |       674809156 |       628933293 |   0.0679835   |                   |
|  344 |  345 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Total Transactions                        |        52204738 |        51399898 |   0.015417    |                   |
|  345 |  346 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Value of transactions                     | 103233506383497 | 108765380334662 |  -0.053586    |                   |
|  346 |  347 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | HR Clients                                |             806 |             811 |  -0.00620347  |                   |
|  347 |  348 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | MR Clients                                |              69 |              77 |  -0.115942    |                   |
|  348 |  349 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | LR Clients                                |             264 |             398 |  -0.507576    |                   |
|  349 |  350 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Terrorist Financing breaches              |             215 |             269 |  -0.251163    |                   |
|  350 |  351 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Proliferation Financing breaches          |              27 |              95 |  -2.51852     | 1                 |
|  351 |  352 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | New Products                              |               0 |               0 |   0           |                   |
|  352 |  353 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Wires - volume                            |         3837250 |         3832901 |   0.00113336  |                   |
|  353 |  354 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Wires - value                             |    919705584099 |    966502967854 |  -0.050883    |                   |
|  354 |  355 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | PEPs                                      |               0 |              23 |   0           |                   |
|  355 |  356 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Transactions Prohibited countries - value |               0 |         1958412 |   0           |                   |
|  356 |  357 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Transactions with Russia - volume         |               1 |               1 |   0           |                   |
|  357 |  358 | Corporate Bank | Correspondent Banking | Greece         | Willett Bank Athens                | Transactions with Russia - value          |              92 |              92 |   0           |                   |
|  358 |  359 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Total clients                             |           16792 |            1007 |   0.940031    |                   |
|  359 |  360 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Business Income                           |       584709197 |       523775996 |   0.104211    |                   |
|  360 |  361 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Total Transactions                        |         1480203 |         1480896 |  -0.000468179 |                   |
|  361 |  362 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Value of transactions                     |    138302788962 |    135928741905 |   0.0171656   |                   |
|  362 |  363 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | HR Clients                                |             866 |             870 |  -0.00461894  |                   |
|  363 |  364 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | MR Clients                                |            4154 |              62 |   0.985075    |                   |
|  364 |  365 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | LR Clients                                |             256 |             526 |  -1.05469     | 1                 |
|  365 |  366 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Terrorist Financing breaches              |             216 |             390 |  -0.805556    |                   |
|  366 |  367 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Proliferation Financing breaches          |              32 |             118 |  -2.6875      | 1                 |
|  367 |  368 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | New Products                              |               1 |               2 |  -1           |                   |
|  368 |  369 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Wires - volume                            |          232948 |          228226 |   0.0202706   |                   |
|  369 |  370 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Wires - value                             |     37251855481 |     35953210905 |   0.0348612   |                   |
|  370 |  371 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | PEPs                                      |             102 |             100 |   0.0196078   |                   |
|  371 |  372 | Corporate Bank | Marine Finance        | Spain          | Willett Bank                       | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|  372 |  373 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Total clients                             |             687 |             698 |  -0.0160116   |                   |
|  373 |  374 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Business Income                           |        18838636 |        17724161 |   0.059159    |                   |
|  374 |  375 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Total Transactions                        |           11378 |           11386 |  -0.000703111 |                   |
|  375 |  376 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Value of transactions                     |    374078378413 |    415957627852 |  -0.111953    |                   |
|  376 |  377 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | HR Clients                                |              52 |              58 |  -0.115385    |                   |
|  377 |  378 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | MR Clients                                |             124 |             120 |   0.0322581   |                   |
|  378 |  379 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | LR Clients                                |              15 |              21 |  -0.4         |                   |
|  379 |  380 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Terrorist Financing breaches              |               7 |               7 |   0           |                   |
|  380 |  381 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | Proliferation Financing breaches          |               0 |               4 |   0           |                   |
|  381 |  382 | Corporate Bank | Syndicated Lending    | Spain          | Willett Bank                       | New Products                              |               0 |               0 |   0           |                   |
|  382 |  383 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Total clients                             |             357 |             361 |  -0.0112045   |                   |
|  383 |  384 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Business Income                           |        46159845 |        45217631 |   0.020412    |                   |
|  384 |  385 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Total Transactions                        |         2781889 |         2862945 |  -0.029137    |                   |
|  385 |  386 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Value of transactions                     |  19469681341267 |  18429186748230 |   0.0534418   |                   |
|  386 |  387 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | HR Clients                                |              59 |              57 |   0.0338983   |                   |
|  387 |  388 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | MR Clients                                |              73 |              77 |  -0.0547945   |                   |
|  388 |  389 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | LR Clients                                |              12 |              23 |  -0.916667    |                   |
|  389 |  390 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Terrorist Financing breaches              |              11 |               7 |   0.363636    |                   |
|  390 |  391 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Proliferation Financing breaches          |               3 |               4 |  -0.333333    |                   |
|  391 |  392 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | New Products                              |               0 |               0 |   0           |                   |
|  392 |  393 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Wires - volume                            |             689 |             902 |  -0.309144    |                   |
|  393 |  394 | Corporate Bank | Fund Services         | Spain          | Willett Bank                       | Wires - value                             |        55882293 |        68295905 |  -0.222139    |                   |
|  394 |  395 | Markets        | Equity Markets        | Spain          | Willett Bank                       | Total clients                             |             809 |             782 |   0.0333745   |                   |
|  395 |  396 | Markets        | Equity Markets        | Spain          | Willett Bank                       | Business Income                           |        25221127 |        21527192 |   0.146462    |                   |
|  396 |  397 | Markets        | Equity Markets        | Spain          | Willett Bank                       | HR Clients                                |              42 |              32 |   0.238095    |                   |
|  397 |  398 | Markets        | Equity Markets        | Spain          | Willett Bank                       | MR Clients                                |             146 |             140 |   0.0410959   |                   |
|  398 |  399 | Markets        | Equity Markets        | Spain          | Willett Bank                       | LR Clients                                |              22 |              33 |  -0.5         |                   |
|  399 |  400 | Markets        | Equity Markets        | Spain          | Willett Bank                       | Terrorist Financing breaches              |              14 |               9 |   0.357143    |                   |
|  400 |  401 | Markets        | Equity Markets        | Spain          | Willett Bank                       | Proliferation Financing breaches          |               5 |               4 |   0.2         |                   |
|  401 |  402 | Markets        | Equity Markets        | Spain          | Willett Bank                       | New Products                              |               0 |               0 |   0           |                   |
|  402 |  403 | Markets        | Trading               | Spain          | Willett Bank                       | Total clients                             |             809 |             782 |   0.0333745   |                   |
|  403 |  404 | Markets        | Trading               | Spain          | Willett Bank                       | Business Income                           |        58465728 |        53992277 |   0.0765141   |                   |
|  404 |  405 | Markets        | Trading               | Spain          | Willett Bank                       | Total Transactions                        |           20287 |           17264 |   0.149012    |                   |
|  405 |  406 | Markets        | Trading               | Spain          | Willett Bank                       | Value of transactions                     |    507457787853 |    465935165969 |   0.0818248   |                   |
|  406 |  407 | Markets        | Trading               | Spain          | Willett Bank                       | HR Clients                                |              42 |              32 |   0.238095    |                   |
|  407 |  408 | Markets        | Trading               | Spain          | Willett Bank                       | MR Clients                                |             146 |             140 |   0.0410959   |                   |
|  408 |  409 | Markets        | Trading               | Spain          | Willett Bank                       | LR Clients                                |              22 |              33 |  -0.5         |                   |
|  409 |  410 | Markets        | Trading               | Spain          | Willett Bank                       | Terrorist Financing breaches              |              14 |               9 |   0.357143    |                   |
|  410 |  411 | Markets        | Trading               | Spain          | Willett Bank                       | Proliferation Financing breaches          |               5 |               4 |   0.2         |                   |
|  411 |  412 | Markets        | Trading               | Spain          | Willett Bank                       | New Products                              |               0 |               0 |   0           |                   |
|  412 |  413 | Markets        | Trading               | Spain          | Willett Bank                       | Wires - volume                            |             137 |             200 |  -0.459854    |                   |
|  413 |  414 | Markets        | Trading               | Spain          | Willett Bank                       | Wires - value                             |      2307435036 |       706003387 |   0.694031    |                   |
|  414 |  415 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Total clients                             |             761 |             911 |  -0.197109    |                   |
|  415 |  416 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Business Income                           |        47355306 |        44143134 |   0.0678313   |                   |
|  416 |  417 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Total Transactions                        |         1108417 |          971028 |   0.123951    |                   |
|  417 |  418 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Value of transactions                     |    236646795559 |    248359921026 |  -0.0494962   |                   |
|  418 |  419 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | HR Clients                                |             125 |             161 |  -0.288       |                   |
|  419 |  420 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | MR Clients                                |             345 |             386 |  -0.118841    |                   |
|  420 |  421 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | LR Clients                                |              63 |              80 |  -0.269841    |                   |
|  421 |  422 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Terrorist Financing breaches              |              11 |              23 |  -1.09091     | 1                 |
|  422 |  423 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Proliferation Financing breaches          |               3 |               3 |   0           |                   |
|  423 |  424 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | New Products                              |               0 |               0 |   0           |                   |
|  424 |  425 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Wires - volume                            |           69078 |           71024 |  -0.0281711   |                   |
|  425 |  426 | Corporate Bank | Corporate Loans       | HK             | Willett Bank HK                    | Wires - value                             |     19387648657 |     20708190302 |  -0.0681125   |                   |
|  426 |  427 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Total clients                             |             432 |              63 |   0.854167    |                   |
|  427 |  428 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Business Income                           |        50505737 |        44835145 |   0.112276    |                   |
|  428 |  429 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Total Transactions                        |          144831 |          146617 |  -0.0123316   |                   |
|  429 |  430 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Value of transactions                     |     15873576154 |     16075076980 |  -0.0126941   |                   |
|  430 |  431 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | HR Clients                                |             104 |              59 |   0.432692    |                   |
|  431 |  432 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | MR Clients                                |             164 |               2 |   0.987805    |                   |
|  432 |  433 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | LR Clients                                |              84 |              42 |   0.5         |                   |
|  433 |  434 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Terrorist Financing breaches              |              53 |              30 |   0.433962    |                   |
|  434 |  435 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Proliferation Financing breaches          |              14 |              12 |   0.142857    |                   |
|  435 |  436 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | New Products                              |               0 |               0 |   0           |                   |
|  436 |  437 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Wires - volume                            |           83295 |           87221 |  -0.0471337   |                   |
|  437 |  438 | Corporate Bank | Marine Finance        | HK             | Willett Bank HK                    | Wires - value                             |      8406925980 |      8663901843 |  -0.0305672   |                   |
|  438 |  439 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Total clients                             |              34 |              42 |  -0.235294    |                   |
|  439 |  440 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Business Income                           |         8316266 |         8058113 |   0.0310419   |                   |
|  440 |  441 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Total Transactions                        |          108252 |          112266 |  -0.0370801   |                   |
|  441 |  442 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Value of transactions                     |     33788622507 |     28191475170 |   0.165652    |                   |
|  442 |  443 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | HR Clients                                |               6 |              19 |  -2.16667     | 1                 |
|  443 |  444 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | MR Clients                                |              16 |              11 |   0.3125      |                   |
|  444 |  445 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | LR Clients                                |               3 |               3 |   0           |                   |
|  445 |  446 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  446 |  447 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  447 |  448 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | New Products                              |               0 |               0 |   0           |                   |
|  448 |  449 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Wires - volume                            |              41 |              36 |   0.121951    |                   |
|  449 |  450 | Corporate Bank | Fund Services         | HK             | Willett Bank HK                    | Wires - value                             |       387665856 |       360364077 |   0.0704261   |                   |
|  450 |  451 | AM             | Asset Management      | HK             | Willett Bank HK                    | Total clients                             |              64 |              72 |  -0.125       |                   |
|  451 |  452 | AM             | Asset Management      | HK             | Willett Bank HK                    | Business Income                           |        21651229 |        22080621 |  -0.0198322   |                   |
|  452 |  453 | AM             | Asset Management      | HK             | Willett Bank HK                    | Total Transactions                        |               0 |               0 |   0           |                   |
|  453 |  454 | AM             | Asset Management      | HK             | Willett Bank HK                    | Value of transactions                     |               0 |               0 |   0           |                   |
|  454 |  455 | AM             | Asset Management      | HK             | Willett Bank HK                    | HR Clients                                |               3 |               5 |  -0.666667    |                   |
|  455 |  456 | AM             | Asset Management      | HK             | Willett Bank HK                    | MR Clients                                |              32 |              33 |  -0.03125     |                   |
|  456 |  457 | AM             | Asset Management      | HK             | Willett Bank HK                    | LR Clients                                |              10 |               1 |   0.9         |                   |
|  457 |  458 | AM             | Asset Management      | HK             | Willett Bank HK                    | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|  458 |  459 | AM             | Asset Management      | HK             | Willett Bank HK                    | Proliferation Financing breaches          |              31 |              24 |   0.225806    |                   |
|  459 |  460 | AM             | Asset Management      | HK             | Willett Bank HK                    | Clients with HR products                  |               0 |               0 |   0           |                   |
|  460 |  461 | AM             | Asset Management      | HK             | Willett Bank HK                    | New Products                              |               0 |               0 |   0           |                   |
|  461 |  462 | AM             | Asset Management      | HK             | Willett Bank HK                    | Wires - volume                            |               0 |               0 |   0           |                   |
|  462 |  463 | AM             | Asset Management      | HK             | Willett Bank HK                    | Wires - value                             |               0 |               0 |   0           |                   |
|  463 |  464 | AM             | Asset Management      | HK             | Willett Bank HK                    | PEPs                                      |               0 |               0 |   0           |                   |
